1001	138.863
1002	136.272
1003	145.526
1004	140.948
1005	142.183
1006	144.768
1007	143.813
1008	143.786
1009	144.679
1010	142.102
1011	140.901
1012	143.678
1013	140.658
1014	143.158
1015	144.788
1016	139.418
1017	142.47
1018	143.741
1019	142.167
1020	140.728
1021	141.934
1022	141.977
1023	142.481
1024	143.709
1025	138.061
1026	145.255
1101	143.443
1102	143.168
1103	143.848
1104	142.892
1105	141.959
1106	144.604
1107	142.712
1108	144.558
1109	140.476
1110	142.449
1111	142.243
1112	142.498
1113	140.285
1114	135.463
1115	140.974
1116	141.891
1117	141.281
1118	145.175
1119	144.199
1120	141.969
1121	141.324
1122	141.829
1123	146.336
1124	137.562
1125	144.204
1126	140.444
1201	144.58
1202	142.235
1203	141.493
1204	140.702
1205	142.898
1206	140.62
1207	140.862
1208	141.787
1209	142.025
1210	141.193
1211	145.636
1212	144.562
1213	142.146
1214	142.135
1215	142.18
1216	139.391
1217	138.014
1218	142.584
1219	141.103
1220	142.773
1221	146.136
1222	144.332
1223	143.896
1224	143.782
1225	142.495
1226	145.879
1301	142.111
1302	142.669
1303	143.096
1304	141.348
1305	143.426
1306	143.954
1307	140.212
1308	144.532
1309	141.33
1310	141.942
1311	145.103
1312	140.868
1313	141.894
1314	143.613
1315	139.544
1316	140.433
1317	141.957
1318	142.023
1319	143
1320	143.957
1321	144.058
1322	142.702
1323	141.472
1324	140.743
1325	144.559
1326	144.568
1401	141.232
1402	144.836
1403	143.028
1404	142.366
1405	142.842
1406	142.328
1407	142.716
1408	143.58
1409	142.503
1410	142.106
1411	144.47
1412	145.427
1413	145.025
1414	143.313
1415	141.744
1416	144.116
1417	141.743
1418	137.558
1419	144.887
1420	143.067
1421	143.252
1422	142.916
1423	140.445
1424	143.832
1425	146.719
1426	144.769
1501	144.542
1502	141.518
1503	144.433
1504	138.803
1505	141.856
1506	144.677
1507	140.818
1508	144.508
1509	145.018
1510	145.095
1511	143.824
1512	143.663
1513	143.737
1514	143.002
1515	143.924
1516	140.881
1517	144.447
1518	142.02
1519	144.455
1520	142.727
1521	142.991
1522	144.057
1523	143.583
1524	145.2
1525	142.532
1526	143.177
1601	144.363
1602	145.836
1603	144.188
1604	144.239
1605	144.289
1606	144.718
1607	140.84
1608	143.622
1609	143.984
1610	141.22
1611	145.626
1612	144.638
1613	131.878
1614	145.767
1615	142.151
1616	137.546
1617	143.238
1618	142.951
1619	142.617
1620	143.099
1621	146.777
1622	143.187
1623	143.249
1624	141.257
1625	141.999
1626	140.415
1701	141.764
1702	146.799
1703	138.97
1704	142.21
1705	144.074
1706	139.227
1707	143.075
1708	142.69
1709	143.419
1710	142.735
1711	141.827
1712	145.252
1713	142.801
1714	142.518
1715	141.782
1716	139.093
1717	144.487
1718	141.998
1719	143.338
1720	143.33
1721	142.603
1722	139.767
1723	145.167
1724	142.602
1725	145.164
1726	143.959
1801	144.192
1802	142.573
1803	143.18
1804	145.055
1805	145.656
1806	144.464
1807	143.488
1808	144.228
1809	142.667
1810	140.65
1811	142.002
1812	142.344
1813	141.374
1814	143.022
1815	145.337
1816	144.937
1817	145.753
1818	141.908
1819	141.767
1820	142.984
1821	145.258
1822	144.037
1823	141.872
1824	140.025
1825	146.544
1826	144.317
1901	145.746
1902	135.411
1903	139.937
1904	142.446
1905	142.026
1906	144.401
1907	141.834
1908	144.971
1909	145.384
1910	142.72
1911	140.307
1912	142.426
1913	144.637
1914	144.2
1915	142.132
1916	143.591
1917	141.063
1918	141.992
1919	145.471
1920	145.811
1921	141.928
1922	143.765
1923	141.609
1924	145.02
1925	144.556
1926	147.036
